date,symbol,router,aggregator,weights,mu,var
2023-07-28,AMZN,risk,median,{'heur': 1.0},1.447160224360693,1e-06
2023-07-28,META,risk,median,{'heur': 1.0},1.7501025737717621,1e-06
2023-08-04,NVDA,risk,median,{'heur': 1.0},1.771207877584721,1e-06
2023-08-04,MSFT,risk,median,{'heur': 1.0},0.11686822490928647,1e-06
2023-08-04,AAPL,risk,median,{'heur': 1.0},0.11680751030889262,1e-06
2023-08-04,GOOGL,risk,median,{'heur': 1.0},1.7681692070674941,1e-06
2023-08-04,AMZN,risk,median,{'heur': 1.0},1.8430648728278782,1e-06
2023-08-04,META,risk,median,{'heur': 1.0},1.5807393023089773,1e-06
2023-08-11,NVDA,risk,median,{'heur': 1.0},0.2952679987693997,1e-06
2023-08-11,MSFT,risk,median,{'heur': 1.0},0.07607066111843182,1e-06
2023-08-11,AAPL,risk,median,{'heur': 1.0},0.0667315039139131,1e-06
2023-08-11,GOOGL,risk,median,{'heur': 1.0},1.422913658059278,1e-06
2023-08-11,AMZN,risk,median,{'heur': 1.0},1.7697213623356183,1e-06
2023-08-11,META,risk,median,{'heur': 1.0},1.4740246157009962,1e-06
2023-08-18,NVDA,risk,median,{'heur': 1.0},1.5406698077240095,1e-06
2023-08-18,MSFT,risk,median,{'heur': 1.0},0.03901711070020696,1e-06
2023-08-18,AAPL,risk,median,{'heur': 1.0},0.021190719159712122,1e-06
2023-08-18,GOOGL,risk,median,{'heur': 1.0},1.411695040887127,1e-06
2023-08-18,AMZN,risk,median,{'heur': 1.0},1.4101572181849098,1e-06
2023-08-18,META,risk,median,{'heur': 1.0},0.18359126740605256,1e-06
2023-08-25,NVDA,risk,median,{'heur': 1.0},1.8113169314696353,1e-06
2023-08-25,MSFT,risk,median,{'heur': 1.0},0.6107447894498722,1e-06
2023-08-25,AAPL,risk,median,{'heur': 1.0},0.3658472846270141,1e-06
2023-08-25,GOOGL,risk,median,{'heur': 1.0},1.3808934851478143,1e-06
2023-08-25,AMZN,risk,median,{'heur': 1.0},1.4460683721325627,1e-06
2023-08-25,META,risk,median,{'heur': 1.0},0.16392305302288784,1e-06
2023-09-01,NVDA,risk,median,{'heur': 1.0},1.9082723560092856,1e-06
2023-09-01,MSFT,risk,median,{'heur': 1.0},1.6334453208695563,1e-06
2023-09-01,AAPL,risk,median,{'heur': 1.0},1.636882855477862,1e-06
2023-09-01,GOOGL,risk,median,{'heur': 1.0},1.7440006159216996,1e-06
2023-09-01,AMZN,risk,median,{'heur': 1.0},1.7601604855573545,1e-06
2023-09-01,META,risk,median,{'heur': 1.0},1.663346573347396,1e-06
2023-09-08,NVDA,risk,median,{'heur': 1.0},1.5568888961011977,1e-06
2023-09-08,MSFT,risk,median,{'heur': 1.0},1.6886641130435736,1e-06
2023-09-08,AAPL,risk,median,{'heur': 1.0},0.4078815580607413,1e-06
2023-09-08,GOOGL,risk,median,{'heur': 1.0},1.7585414409821385,1e-06
2023-09-08,AMZN,risk,median,{'heur': 1.0},1.7147356781899006,1e-06
2023-09-08,META,risk,median,{'heur': 1.0},1.7146768623061632,1e-06
2023-09-15,NVDA,risk,median,{'heur': 1.0},0.20223718182122682,1e-06
2023-09-15,MSFT,risk,median,{'heur': 1.0},1.6229492185060665,1e-06
2023-09-15,AAPL,risk,median,{'heur': 1.0},0.06850753279064448,1e-06
2023-09-15,GOOGL,risk,median,{'heur': 1.0},1.748617650405659,1e-06
2023-09-15,AMZN,risk,median,{'heur': 1.0},1.726707612256036,1e-06
2023-09-15,META,risk,median,{'heur': 1.0},1.6984389469388703,1e-06
2023-09-22,NVDA,risk,median,{'heur': 1.0},0.048789054692245336,1e-06
2023-09-22,MSFT,risk,median,{'heur': 1.0},0.05856094797592204,1e-06
2023-09-22,AAPL,risk,median,{'heur': 1.0},0.03954099401821555,1e-06
2023-09-22,GOOGL,risk,median,{'heur': 1.0},0.1364726810370775,1e-06
2023-09-22,AMZN,risk,median,{'heur': 1.0},0.0836417295733497,1e-06
2023-09-22,META,risk,median,{'heur': 1.0},1.3831859187560722,1e-06
2023-09-29,NVDA,risk,median,{'heur': 1.0},0.2792835166345318,1e-06
2023-09-29,MSFT,risk,median,{'heur': 1.0},0.03816468044123041,1e-06
2023-09-29,AAPL,risk,median,{'heur': 1.0},-1.036526143244693,1e-06
2023-09-29,GOOGL,risk,median,{'heur': 1.0},1.340787955494963,1e-06
2023-09-29,AMZN,risk,median,{'heur': 1.0},0.05232508657379373,1e-06
2023-09-29,META,risk,median,{'heur': 1.0},1.3872517280822785,1e-06
2023-10-06,NVDA,risk,median,{'heur': 1.0},1.7138198960048188,1e-06
2023-10-06,MSFT,risk,median,{'heur': 1.0},1.591620549375525,1e-06
2023-10-06,AAPL,risk,median,{'heur': 1.0},0.574186466678987,1e-06
2023-10-06,GOOGL,risk,median,{'heur': 1.0},1.7222440059117798,1e-06
2023-10-06,AMZN,risk,median,{'heur': 1.0},0.05454597980186418,1e-06
2023-10-06,META,risk,median,{'heur': 1.0},1.7334548422918816,1e-06
2023-10-13,NVDA,risk,median,{'heur': 1.0},1.6722894856856456,1e-06
2023-10-13,MSFT,risk,median,{'heur': 1.0},1.5568534592458843,1e-06
2023-10-13,AAPL,risk,median,{'heur': 1.0},1.5832403582015333,1e-06
2023-10-13,GOOGL,risk,median,{'heur': 1.0},1.6647616277363129,1e-06
2023-10-13,AMZN,risk,median,{'heur': 1.0},0.5143405525410154,1e-06
2023-10-13,META,risk,median,{'heur': 1.0},1.6594316920063248,1e-06
2023-10-20,NVDA,risk,median,{'heur': 1.0},0.13273707585429687,1e-06
2023-10-20,MSFT,risk,median,{'heur': 1.0},1.606555255517651,1e-06
2023-10-20,AAPL,risk,median,{'heur': 1.0},0.046425962598683125,1e-06
2023-10-20,GOOGL,risk,median,{'heur': 1.0},1.41705460927073,1e-06
